[2018-05-08 08:47:22,045][INFO] ## 2018-05-08T08:47:22.045833: step 130, loss 65.4982, acc 0.328125
[2018-05-08 08:47:22,796][INFO] ## 2018-05-08T08:47:22.796232: step 131, loss 63.28, acc 0.40625
[2018-05-08 08:47:23,549][INFO] ## 2018-05-08T08:47:23.549188: step 132, loss 64.2907, acc 0.34375
[2018-05-08 08:47:24,302][INFO] ## 2018-05-08T08:47:24.302320: step 133, loss 67.0403, acc 0.28125
[2018-05-08 08:47:25,046][INFO] ## 2018-05-08T08:47:25.046219: step 134, loss 67.0033, acc 0.296875
[2018-05-08 08:47:25,796][INFO] ## 2018-05-08T08:47:25.796617: step 135, loss 65.9318, acc 0.328125
[2018-05-08 08:47:26,547][INFO] ## 2018-05-08T08:47:26.547275: step 136, loss 67.0155, acc 0.265625
[2018-05-08 08:47:27,317][INFO] ## 2018-05-08T08:47:27.317002: step 137, loss 66.2789, acc 0.265625
[2018-05-08 08:47:28,070][INFO] ## 2018-05-08T08:47:28.070188: step 138, loss 64.1092, acc 0.34375
[2018-05-08 08:47:28,820][INFO] ## 2018-05-08T08:47:28.820588: step 139, loss 66.663, acc 0.25
[2018-05-08 08:47:29,576][INFO] ## 2018-05-08T08:47:29.576527: step 140, loss 64.8671, acc 0.28125
[2018-05-08 08:47:30,346][INFO] ## 2018-05-08T08:47:30.346976: step 141, loss 64.0998, acc 0.4375
[2018-05-08 08:47:31,100][INFO] ## 2018-05-08T08:47:31.100746: step 142, loss 66.1383, acc 0.234375
[2018-05-08 08:47:31,851][INFO] ## 2018-05-08T08:47:31.851145: step 143, loss 66.271, acc 0.25
[2018-05-08 08:47:32,604][INFO] ## 2018-05-08T08:47:32.604440: step 144, loss 65.1814, acc 0.3125
[2018-05-08 08:47:33,357][INFO] ## 2018-05-08T08:47:33.357107: step 145, loss 62.9456, acc 0.375
[2018-05-08 08:47:34,120][INFO] ## 2018-05-08T08:47:34.120073: step 146, loss 65.2758, acc 0.28125
[2018-05-08 08:47:34,870][INFO] ## 2018-05-08T08:47:34.870474: step 147, loss 68.6945, acc 0.234375
[2018-05-08 08:47:35,623][INFO] ## 2018-05-08T08:47:35.623593: step 148, loss 65.637, acc 0.296875
[2018-05-08 08:47:36,377][INFO] ## 2018-05-08T08:47:36.377420: step 149, loss 64.5317, acc 0.34375
[2018-05-08 08:47:37,131][INFO] ## 2018-05-08T08:47:37.131102: step 150, loss 64.1138, acc 0.359375
[2018-05-08 08:47:37,881][INFO] ## 2018-05-08T08:47:37.881973: step 151, loss 63.3987, acc 0.390625
