[2018-05-07 21:46:45,991][INFO] ## 2018-05-07T21:46:45.991709: step 175, loss 51.95, acc 0.359375
[2018-05-07 21:46:46,281][INFO] ## 2018-05-07T21:46:46.281864: step 176, loss 53.8117, acc 0.28125
[2018-05-07 21:46:46,572][INFO] ## 2018-05-07T21:46:46.572018: step 177, loss 53.5191, acc 0.25
[2018-05-07 21:46:46,862][INFO] ## 2018-05-07T21:46:46.862173: step 178, loss 53.5832, acc 0.296875
[2018-05-07 21:46:47,155][INFO] ## 2018-05-07T21:46:47.155116: step 179, loss 53.9146, acc 0.296875
[2018-05-07 21:46:47,445][INFO] ## 2018-05-07T21:46:47.445271: step 180, loss 48.7326, acc 0.46875
[2018-05-07 21:46:47,725][INFO] ## 2018-05-07T21:46:47.725420: step 181, loss 52.7734, acc 0.265625
[2018-05-07 21:46:48,018][INFO] ## 2018-05-07T21:46:48.018945: step 182, loss 52.2724, acc 0.3125
[2018-05-07 21:46:48,309][INFO] ## 2018-05-07T21:46:48.309099: step 183, loss 53.6115, acc 0.265625
[2018-05-07 21:46:48,599][INFO] ## 2018-05-07T21:46:48.599254: step 184, loss 52.7547, acc 0.25
[2018-05-07 21:46:48,893][INFO] ## 2018-05-07T21:46:48.893861: step 185, loss 50.8203, acc 0.328125
[2018-05-07 21:46:49,175][INFO] ## 2018-05-07T21:46:49.175850: step 186, loss 51.6524, acc 0.390625
[2018-05-07 21:46:49,476][INFO] ## 2018-05-07T21:46:49.476009: step 187, loss 52.8616, acc 0.3125
[2018-05-07 21:46:49,756][INFO] ## 2018-05-07T21:46:49.756159: step 188, loss 50.0366, acc 0.375
[2018-05-07 21:46:50,049][INFO] ## 2018-05-07T21:46:50.049025: step 189, loss 50.9177, acc 0.421875
[2018-05-07 21:46:50,339][INFO] ## 2018-05-07T21:46:50.339178: step 190, loss 49.5588, acc 0.40625
[2018-05-07 21:46:50,619][INFO] ## 2018-05-07T21:46:50.619328: step 191, loss 51.2825, acc 0.34375
[2018-05-07 21:46:50,919][INFO] ## 2018-05-07T21:46:50.919577: step 192, loss 53.08, acc 0.328125
